"",BD_ID1,BD_ID2,BD_ID3,BD_ID4,BD_ID5,BD_ID6,BD_ID7,BD_ID8,BD_ID9,BD_ID10,BD_ID11,CTR_ID1,CTR_ID2,CTR_ID3,CTR_ID4,CTR_ID5,CTR_ID6,CTR_ID7,CTR_ID8,CTR_ID9,CTR_ID10,CTR_ID11,CTR_ID12,CTR_ID13,CTR_ID14,CTR_ID15,MDD_ID1,MDD_ID2,MDD_ID3,MDD_ID4,MDD_ID5,MDD_ID6,MDD_ID7,MDD_ID8,MDD_ID9,MDD_ID10,MDD_ID11,SCZ_ID1,SCZ_ID2,SCZ_ID3,SCZ_ID4,SCZ_ID5,SCZ_ID6,SCZ_ID7,SCZ_ID8,SCZ_ID9,SCZ_ID10,SCZ_ID11,SCZ_ID12,SCZ_ID13
BMP7,5.280161,5.298799,5.624769,5.09316,5.546708,5.477231,5.332818,5.355515,6.130446,5.08492,5.534386,5.115455,4.932158,5.593823,4.96864,4.772465,5.213764,5.041596,5.348188,5.080806,5.060155,5.150542,5.301155,5.093041,5.224984,5.45266,5.682763,4.840203,5.740775,6.107741,5.05219,5.414549,5.283628,5.487812,5.38895,5.398663,5.021608,5.235747,5.374366,5.401096,5.292692,5.295322,5.0776,4.909683,5.450221,5.704877,5.163671,5.435691,4.928393,5.292527
SFPQ,5.690888,5.877248,5.819102,5.456225,5.6853,5.760987,5.511724,5.966104,5.851689,6.471724,5.803468,6.381564,6.723768,6.533167,6.617567,6.356323,6.460816,6.74843,6.932879,6.660584,6.855334,6.777836,6.863867,6.585388,6.84908,6.975698,6.581696,6.673586,6.833554,6.203374,6.856168,6.850592,6.928152,6.908343,6.653987,6.662728,6.68793,6.543535,6.576952,6.933377,6.245848,6.335765,6.810051,6.377991,6.464611,6.800684,6.275699,6.758435,6.716359,6.723385
RCOR1,3.489332,4.362855,3.889267,3.922636,3.643901,4.116589,3.531452,4.052891,3.723705,4.387838,3.927132,4.108355,3.791541,4.168006,3.669676,3.930437,3.857197,3.95458,4.08006,3.784091,4.219152,4.144817,3.974396,4.11849,3.832222,4.327767,3.936411,3.826836,4.092226,3.889578,4.539956,4.188197,4.912688,5.353174,3.974468,4.056006,4.514705,3.823691,4.275912,4.161827,3.378268,3.880395,4.211528,4.132766,4.354799,4.143525,4.255481,4.023409,4.073319,4.390475
CDH1,3.282282,3.313511,3.302299,3.153188,2.992718,3.307908,3.155585,3.292268,3.461009,3.255615,3.142135,3.482265,3.520437,3.317225,3.843889,3.401107,3.82513,3.547754,3.578115,3.704798,3.597616,3.34557,3.396637,3.637096,3.536951,3.67135,4.061576,3.157045,3.37898,3.452808,3.42853,3.266588,3.254822,3.03323,3.595343,3.534999,3.177357,3.248733,3.318257,3.034342,3.258038,3.263784,2.911933,3.065994,3.394613,2.860139,3.048606,3.095874,2.868325,3.202312
ZNF195,3.011615,3.568602,3.537788,2.92494,3.024496,3.566242,2.971485,3.577731,3.101256,3.339237,3.254396,3.016299,2.863453,3.129806,3.079313,2.882203,2.881203,2.771899,3.01033,3.202601,3.028752,2.983194,2.985093,3.041043,3.286005,3.309742,3.069601,3.125739,3.075764,2.989787,3.20829,3.266472,3.297128,3.189097,2.84904,3.212758,3.495424,3.124462,3.032785,3.4946,3.01093,3.062491,3.291128,2.840767,3.386658,3.207219,3.384198,3.410017,3.625775,3.370878
XPC,5.567984,5.441945,5.306165,5.551843,5.163187,5.195601,5.376351,5.27965,5.540824,5.027393,5.430876,7.374161,7.335213,7.147853,7.430791,7.425058,7.405381,7.373357,7.619588,7.57208,7.532965,7.448569,7.38581,7.266714,7.256298,7.459165,7.758718,7.333864,7.51917,7.418745,7.762259,7.512796,7.482294,7.294179,7.578487,7.499872,7.115296,5.199695,5.754627,5.440217,5.539337,5.353862,5.405606,5.142102,5.493747,5.310769,5.133437,5.249835,5.128709,5.022316
BRCA1,3.400071,3.259237,3.09187,3.268928,3.317456,3.074883,3.319088,3.14657,3.215683,3.181581,3.344036,3.000111,2.794708,2.677255,3.270503,3.105805,3.118916,3.311824,3.217276,2.90929,2.822486,3.210989,2.918118,2.922933,2.922051,2.679036,3.472756,3.328082,3.378002,3.487565,3.34394,3.198658,3.247375,3.176403,3.65492,3.23309,3.261063,3.093156,3.076756,3.153269,3.254646,3.370095,3.030579,3.235424,3.202998,3.011198,3.113117,3.061531,3.157997,2.990857
MLX,6.087213,6.091131,6.28588,6.176801,6.312786,6.360692,6.326198,6.123996,6.329322,5.751941,6.257671,6.067089,6.128892,6.244135,6.110262,6.344709,5.988868,6.310229,6.185949,6.030335,6.290707,6.257989,6.125979,6.190786,6.317017,6.206237,6.385421,6.125995,6.585061,6.075978,6.384428,6.451561,6.518585,6.483354,6.11446,6.43566,6.516988,6.177252,6.32744,6.418485,6.044638,6.267711,6.393952,6.354495,6.295538,6.34307,6.247485,6.512266,6.406465,6.287606
PLXNA3,4.402029,4.213048,4.219929,4.172152,4.534085,4.565671,4.333234,4.526697,4.186551,4.144853,4.162392,4.477617,4.419008,4.819176,4.472479,4.560856,4.36881,4.598251,4.555525,4.503332,4.489668,4.47215,4.663344,4.571663,4.775734,4.42473,4.323197,4.440374,4.372063,4.601869,3.895032,4.444105,4.279405,4.357765,4.59376,4.595512,4.422255,4.465247,4.237957,4.207379,4.334769,4.428299,3.872086,4.29457,4.327201,4.18021,4.34074,4.386502,4.137166,4.587907
MYCN,4.607594,4.845562,4.845607,4.79849,4.889965,4.773009,4.889841,4.864479,5.035263,5.60758,4.808042,3.921,3.718815,3.828739,3.859831,3.973698,3.798824,3.87404,4.037391,3.827744,3.936129,3.667734,3.788074,3.862352,4.157874,3.807227,4.269993,3.983043,4.12093,3.733302,4.412085,3.916541,4.235446,4.161425,4.021951,3.783375,4.349624,3.819387,3.68268,3.59328,4.325731,4.130402,3.448772,3.795654,3.769104,3.496385,3.965058,3.763152,3.635428,3.734456
JUND,10.875169,10.570389,10.650483,10.651593,10.71827,10.543366,10.546296,10.700694,11.071335,11.361713,10.411506,10.723564,10.856282,10.675924,10.795306,10.700071,10.922106,10.854806,10.96403,10.824856,10.940078,10.881685,10.831634,10.817591,10.717102,10.787377,10.907789,11.021294,11.006043,11.114974,10.799223,10.815288,10.739595,10.840367,10.935508,11.093893,10.83315,10.77961,10.75297,10.880606,10.752116,10.539849,10.418113,10.575995,10.636495,10.742231,10.660584,10.875155,10.767744,10.836233
IRF5,4.975864,5.14014,5.045701,5.182881,5.10435,5.074048,5.362347,5.022314,4.876071,5.246265,4.945106,6.056679,5.965077,6.020708,5.898135,6.346962,6.062528,6.141433,6.00049,5.832509,5.913803,6.019345,5.854694,5.863336,5.848606,5.973703,5.237282,5.194066,5.085029,5.229447,5.384514,5.265829,5.351522,5.266609,5.461319,5.192321,5.403338,5.221356,5.307965,5.023833,5.23854,5.424956,4.834834,5.393734,5.15188,4.999142,5.509587,5.094724,5.13135,5.17195
HIPK3,4.409498,4.217679,4.278865,4.403001,4.46182,4.258297,4.593432,4.236264,4.485167,4.347833,4.237188,5.783401,5.708196,5.87178,5.593749,5.628015,6.066881,5.77928,5.749444,5.586686,5.632591,5.655154,5.56562,5.526159,5.442142,5.602325,5.868138,5.981706,5.753287,6.167255,5.270212,5.642268,5.608213,5.708367,6.078222,5.901402,5.726735,5.793545,5.536873,5.632539,5.689545,5.833026,5.22621,5.664774,5.654982,5.557347,6.005749,5.707009,5.608391,5.644931
DSP,3.798876,3.303816,3.104857,2.946955,3.235759,3.309939,3.351432,3.120521,3.43025,3.099067,3.321535,3.376549,3.68622,3.601061,3.327598,3.361247,3.338148,3.560786,3.309301,3.461062,3.249348,3.913587,3.238962,3.650565,3.418211,3.449241,3.706043,3.624847,3.452445,3.58861,3.357257,3.502787,3.819861,3.754158,3.455808,3.240229,3.448198,3.269343,3.871085,3.451424,3.145234,3.475756,3.658594,3.407105,3.424672,3.925572,3.373552,3.385409,3.633993,3.424655
BRD1,5.882573,5.472478,5.241512,6.059304,5.611894,5.414886,5.753882,5.595844,6.058885,5.941288,5.555235,5.882736,6.058542,5.943057,6.065662,5.662651,5.988511,6.127817,6.073522,6.024587,5.952898,5.971433,5.932677,5.820537,5.948444,6.078028,5.898728,5.77144,5.702369,6.218579,5.471655,5.66352,5.513949,5.720105,5.80389,5.925447,5.111673,5.807219,6.309534,5.879356,5.977273,6.061815,6.073512,5.658764,5.692349,5.928708,5.565851,5.737554,5.998637,5.821158
ERCC8,5.117972,5.079073,4.907679,5.133679,4.954415,5.126386,5.226441,5.033848,5.211663,5.019871,5.004615,4.754669,4.810123,4.844544,4.825576,4.975845,4.934469,4.980679,4.938252,4.577108,4.809843,4.726439,4.776157,4.745231,4.740024,4.807895,5.096614,5.109788,5.002616,4.885163,4.848918,5.005611,5.150742,5.012598,5.10476,5.136262,4.895106,4.93284,4.719391,4.849374,4.846189,4.632425,4.825847,4.988396,4.856531,4.730862,4.968048,4.740313,4.89873,4.781369
ZNF134,3.963734,4.095394,4.481188,3.914602,4.023788,4.34554,4.224736,4.200083,3.88102,4.287649,4.119323,4.275889,4.105203,4.060843,3.944167,4.154144,3.943847,3.857497,3.877631,4.145751,3.766776,3.699225,3.756766,3.883539,3.886145,4.177459,4.127249,4.052077,3.906089,4.082357,4.227595,3.970637,4.077493,4.124893,4.043229,4.068844,4.321407,4.016998,3.892469,3.997861,4.246827,4.187343,3.766787,3.861487,4.037464,3.962027,4.309438,3.928036,4.162431,4.06175
